"actor","service","method","service_path","gateway_path","auth","request_dto","response_dto","success_code","http_status","note"
"BUYER","product-service","GET","/api/v1/buyer/products/{productId}","/product-service/api/v1/buyer/products/{productId}","PermitAll","PathVariable(productId)","ApiResponse<BuyerProductDetailResponse>","PRODUCT_200_006","200","구매자 상품상세 조회"
"SELLER","product-service","POST","/api/v1/seller/products","/product-service/api/v1/seller/products","ROLE_SELLER + Passport헤더","ProductCreateRequest","ApiResponse<Void>","PRODUCT_201_001","201","판매자 상품등록(옵션별 재고 inventory 동기 upsert)"
"SELLER","product-service","POST","/api/v1/seller/products/images/presigned-upload","/product-service/api/v1/seller/products/images/presigned-upload","ROLE_SELLER + Passport헤더","ProductImagePresignedUploadRequest","ApiResponse<ProductImagePresignedUploadResponse>","PRODUCT_201_003","201","판매자 이미지 presigned URL 발급"
"SELLER","product-service","GET","/api/v1/seller/products","/product-service/api/v1/seller/products?status=&keyword=&limit=","ROLE_SELLER + Passport헤더","QueryParam(status|keyword|limit)","ApiResponse<List<SellerProductListResponse>>","PRODUCT_200_001","200","판매자 상품목록 조회"
"SELLER","product-service","GET","/api/v1/seller/products/{productId}","/product-service/api/v1/seller/products/{productId}","ROLE_SELLER + Passport헤더","PathVariable(productId)","ApiResponse<SellerProductResponse>","PRODUCT_200_002","200","판매자 상품상세 조회"
"SELLER","product-service","PATCH","/api/v1/seller/products/{productId}/status","/product-service/api/v1/seller/products/{productId}/status","ROLE_SELLER + Passport헤더","ProductStatusUpdateRequest","ApiResponse<Void>","PRODUCT_200_003","200","판매자 상품상태 변경"
"SELLER","product-service","DELETE","/api/v1/seller/products/{productId}","/product-service/api/v1/seller/products/{productId}","ROLE_SELLER + Passport헤더","PathVariable(productId)","ApiResponse<Void>","PRODUCT_200_004","200","판매자 상품삭제"
"SELLER","inventory-service","GET","/api/v1/seller/inventories","/inventory-service/api/v1/seller/inventories?keyword=&limit=","ROLE_SELLER + Passport헤더","QueryParam(keyword|limit)","ApiResponse<List<SellerInventoryItemResponse>>","INVENTORY_200_002","200","판매자 재고 목록 조회"
"BUYER","order-service","POST","/api/v1/orders","/order-service/api/v1/orders","현재 SecurityConfig상 PermitAll","OrderCreateRequest","OrderCreateResponse","-","200","주문 생성(STABLE 결제는 checkoutUrl 포함)"
"BUYER","order-service","GET","/api/v1/orders/{orderNo}","/order-service/api/v1/orders/{orderNo}","ROLE_BUYER + Passport헤더","PathVariable(orderNo)","OrderDetailResponse","-","200","주문 상세 조회"
"BUYER","order-service","GET","/api/v1/orders","/order-service/api/v1/orders?buyerId=&limit=","ROLE_BUYER + Passport헤더","QueryParam(buyerId|limit)","List<OrderSummaryResponse>","-","200","구매자 주문 목록 조회"
"SELLER","order-service","GET","/api/v1/seller/orders","/order-service/api/v1/seller/orders?keyword=&status=&page=&size=","ROLE_SELLER + Passport헤더","QueryParam(keyword|status|page|size)","SellerOrderListPageResponse","-","200","판매자 주문 목록 조회(페이지네이션)"
"SELLER","order-service","POST","/api/v1/seller/orders/deliveries","/order-service/api/v1/seller/orders/deliveries","ROLE_SELLER + Passport헤더","DeliveryRegisterRequest","DeliveryBatchUpdateResponse","-","200","판매자 송장 일괄 등록(status=IN_DELIVERY)"
"SELLER","order-service","PATCH","/api/v1/seller/orders/deliveries/delivered","/order-service/api/v1/seller/orders/deliveries/delivered","ROLE_SELLER + Passport헤더","DeliveryDeliveredRequest","DeliveryBatchUpdateResponse","-","200","배송완료 처리(status=DELIVERED) 후 D+7 자동 구매확정 대상"
"BUYER","order-service","POST","/api/v1/orders/{orderNo}/cancel","/order-service/api/v1/orders/{orderNo}/cancel","ROLE_BUYER + Passport헤더","OrderCancelRequest(optional)","OrderCancelResponse","-","200","주문 취소"
